,SSINENG,YUANTA,SKITERNX,KOSEF_TIPS,SOL_AI,FCX,PLTR,QQQM,VRT
2023-02-28,16910.0,2765.0,83.01758610670393,99371.8046875,65.47705396407123,51897.340101242065,10375.848201942445,156567.77400283815,21432.78515996933
2023-03-01,16890.0,2825.0,84.5713205648211,99357.171875,65.15969803764705,54127.17899570466,10113.503575253488,154284.90900535585,21141.08742237091
2023-03-02,16890.0,2825.0,84.5713205648211,99357.171875,65.15969803764705,53851.824362640386,10472.26092432022,155548.04480010987,20729.11444091797
2023-03-03,16870.0,2770.0,85.80359234188515,99664.4921875,65.35011362552234,54436.67014492035,10833.914600772858,157060.63043563842,21205.150401592255
2023-03-06,17210.0,2720.0,86.74117990963308,99976.6875,66.68300750049352,53009.828840255745,10732.03885389328,156713.67162429812,20913.00658824921
2023-03-07,17740.0,2695.0,87.6787894810554,100396.203125,66.22601618565517,49933.519691467285,10761.515652942659,155209.23952331542,20517.101711940766
2023-03-08,17450.0,2635.0,85.13387750620473,99986.4453125,65.52783416353235,51250.218315925595,10738.185451154708,158506.33982139587,20718.711703004836
2023-03-09,17630.0,2670.0,84.30343683091635,100025.46875,65.1850881373776,49547.15057373047,10162.950275621413,155802.9206387329,20256.64267906189
2023-03-10,17580.0,2620.0,84.1427054903898,100966.9453125,63.02706174163079,48021.63229873657,9735.148373684882,154033.82739349364,18796.758017978667
2023-03-13,16840.0,2605.0,84.75884137892183,101640.1171875,63.280947498780534,46813.588444137575,10234.620051174164,152268.62425003052,17924.07894208908
2023-03-14,16060.0,2490.0,82.50860811246868,102391.3515625,60.53898436959451,47555.25140998841,10305.365525612831,156412.0270993805,18158.430173130037
2023-03-15,16610.0,2480.0,82.85684926525877,101703.53125,60.53898436959451,44788.363441314694,10410.462125673293,158671.89390701294,17493.02002046585
2023-03-16,16250.0,2400.0,82.45502916532028,102049.8828125,61.79571302542596,45337.2989466858,10470.797425026894,162181.0379019165,17784.164411153793
2023-03-17,16900.0,2425.0,81.78531432963987,101805.9765625,65.14700298778176,45209.97220039368,10273.550149202347,160417.4197101593,17046.916440725327
2023-03-20,16930.0,2435.0,81.24954686183042,102093.7890625,65.36280359533565,46981.129662666324,10590.37510000229,161790.9968132019,17268.27975139618
2023-03-21,16770.0,2440.0,81.43706217501257,102425.5,64.65193160339952,47995.80161075592,11074.992250013353,164139.93351364136,17986.15313448906
2023-03-22,16760.0,2455.0,82.53539758604285,102240.1328125,65.95943537864014,47354.84351158142,10734.575049877167,161487.06336975098,17525.952322483063
2023-03-23,16530.0,2415.0,82.58896553135403,102523.0546875,66.25140120533376,46258.90063694,10653.486802425385,159916.4326247406,16862.590133314134
2023-03-24,16850.0,2450.0,81.65137246268749,102903.546875,69.13300480298594,47024.42773357391,10599.073753461837,162192.80229156493,16862.089780683516
2023-03-27,16780.0,2450.0,82.40145021817187,102693.7890625,69.10761978330733,47294.12847599029,10460.120350370407,162153.82590522766,17101.850249204635
2023-03-28,17100.0,2475.0,83.01758610670392,102723.0625,71.3418063181419,47678.774807891845,10386.08,160944.64996383668,17091.57923118591
2023-03-29,17580.0,2570.0,83.90160022822207,102669.3984375,72.00191335077281,49201.64037597657,10713.783948040009,164546.99165588382,17808.45273622513
2023-03-30,17630.0,2580.0,86.25899688989058,102727.9453125,73.49983271388874,49976.98082153321,10585.953004512789,165509.75412765503,17863.607255134582
2023-03-31,18330.0,2670.0,88.18776197437204,102693.7890625,74.37348209071993,51051.91875,11017.109751319886,168912.0288482666,18593.807205963134
